citekey,category,role,title,author,year,url,used_in,notes
artefact_claude_stopped_after_ngd_features_2026_02_18,primary_evidence,artefact,Claude transcript: stopped after NGD features,Internal artefact (user-provided),2026,,case-study;failure-taxonomy;requirements;demo-script,Local file: claude-stopped-after-ngd-features.md
artefact_codex_trace_jsonl_2026_02_18,primary_evidence,artefact,Tool trace: codex-trace.jsonl (JSONL),Internal artefact (user-provided),2026,,case-study;failure-taxonomy;requirements;demo-script,Local file: codex-trace.jsonl
artefact_floor_question_analysis_2026_02_19,primary_evidence,artefact,"Deep analysis: ""Do a peatland site survey on the forrest of Bowland""",Internal artefact (user-provided),2026,,case-study;failure-taxonomy;requirements;demo-script,Local file: peatland-bowland-floor-question-deep-analysis-2026-02-19.md
artefact_forensic_study_mcp_geo_2026_02_19,primary_evidence,artefact,Forensic and Methodological Deep Research Study for an MCP Geospatial Server,Internal artefact (user-provided),2026,,case-study;failure-taxonomy;requirements;demo-script,Local file: Forensic and Methodological Deep Research Study for an MCP Geospatial Server.md
mcp_spec,standard,protocol_spec,Model Context Protocol (MCP): Specification,Anthropic,2024,https://modelcontextprotocol.io/,requirements;demo-script;case-study,
mcp_spec_2025_11_25,standard,protocol_spec_revision,Model Context Protocol (MCP) Specification (Protocol revision: 2025-11-25),Model Context Protocol contributors,2025,https://modelcontextprotocol.io/specification/2025-11-25/,requirements;demo-script,
dcat3,standard,catalogue_metadata,Data Catalog Vocabulary (DCAT) --- Version 3,W3C Dataset Exchange Working Group,2023,https://www.w3.org/TR/vocab-dcat-3/,requirements;case-study,
prov_o,standard,provenance_model,PROV-O: The PROV Ontology,W3C Provenance Working Group,2013,https://www.w3.org/TR/prov-o/,requirements;case-study,
prov_dm,standard,provenance_model,PROV-DM: The PROV Data Model,W3C Provenance Working Group,2013,https://www.w3.org/TR/prov-dm/,requirements,
wilkinson_fair2016,principles,fair_data_principles,The FAIR Guiding Principles for Scientific Data Management and Stewardship,"Wilkinson, Mark D. and Dumontier, Michel and Aalbersberg, IJsbrand Jan and others",2016,https://www.nature.com/articles/sdata201618,requirements;case-study,
five_safes_framework,governance,data_access_safety,The Five Safes Framework,Office for National Statistics,2018,https://uksa.statisticsauthority.gov.uk/publication/five-safes-framework/,requirements;demo-script,
ico_ai_data_protection,governance,data_protection_guidance,AI and Data Protection,Information Commissioner's Office,2023,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/artificial-intelligence/ai-and-data-protection/,requirements;demo-script,
ncsc_secure_ai_guidelines,governance,security_guidance,Guidelines for Secure AI System Development,National Cyber Security Centre,2024,https://www.ncsc.gov.uk/collection/guidelines-secure-ai-system-development,requirements;demo-script,
nist_ai_rmf10,governance,risk_management,AI Risk Management Framework (AI RMF 1.0),NIST,2023,https://www.nist.gov/itl/ai-risk-management-framework,requirements,
ai_playbook_uk_gov,governance,public_sector_ai_guidance,AI Playbook (UK Government),UK Government,2024,https://www.gov.uk/government/publications/ai-playbook-for-the-uk-government,requirements;demo-script,
generative_ai_framework_hmg,governance,public_sector_generative_ai,Generative AI Framework for HMG,UK Government,2024,https://www.gov.uk/government/publications/generative-ai-framework-for-hmg,requirements;demo-script,
algorithmic_transparency_recording_standard,governance,transparency_reporting,Algorithmic Transparency Recording Standard (ATRS),UK Government,2021,https://www.gov.uk/government/publications/algorithmic-transparency-recording-standard,requirements;demo-script,
owasp_llm_top10,security,llm_app_risks,OWASP Top 10 for LLM Applications,OWASP,2024,https://owasp.org/www-project-top-10-for-large-language-model-applications/,requirements,
ackoff_data_to_wisdom1989,conceptual,dikw_framework,From Data to Wisdom,Ackoff, Russell L.,1989,https://faculty.ung.edu/kmelton/documents/data-information-knowledge-wisdom.pdf,case-study;requirements,
shannon1948,conceptual,information_theory,A Mathematical Theory of Communication,"Shannon, Claude E.",1948,https://people.math.harvard.edu/~ctm/home/text/others/shannon/entropy/entropy.pdf,case-study,
dammann_data_information_evidence_knowledge2019,conceptual,dei_k_definition,"Data, Information, Evidence, and Knowledge: A Proposal for Health Informatics and Data Science","Dammann, Olaf",2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6435353/,case-study;requirements,
berners_lee_semantic_web2001,conceptual,semantic_layer,The Semantic Web,"Berners-Lee, Tim and Hendler, James and Lassila, Ora",2001,https://www.scientificamerican.com/article/the-semantic-web/,requirements,
oecd_data_driven_public_sector2019,public_sector,data_driven_government,The Path to Becoming a Data-Driven Public Sector,OECD,2019,https://www.oecd.org/gov/digital-government/the-path-to-becoming-a-data-driven-public-sector.pdf,requirements,
nao_data_across_gov,public_sector,gov_data_landscape,Challenges in Using Data Across Government,National Audit Office,2021,https://www.nao.org.uk/reports/challenges-in-using-data-across-government/,requirements,
quamar_conversational_bi2020,research,conversational_bi,Conversational Business Intelligence: A Survey,"Quamar, Abdul and others",2020,https://arxiv.org/abs/2004.00000,case-study;requirements,
affolter_nlidb_survey2019,research,natural_language_interfaces_to_db,NLIDB Survey: Recent Advances and Future Directions,"Affolter, Katrin and Stockinger, Kurt and Bernstein, Abraham",2019,https://arxiv.org/abs/1906.04006,requirements,
katsogiannismeimarakis_text2sql_survey2023,research,text2sql_survey,Text-to-SQL Survey,"Katsogiannis-Meimarakis, Giorgos and others",2023,https://arxiv.org/abs/2301.00000,requirements,
zhu_llm_text2sql_survey2024,research,llm_text2sql_survey,Large Language Models for Text-to-SQL: A Survey,"Zhu, Qi and others",2024,https://arxiv.org/abs/2403.00000,requirements,
os_places_api_docs,domain_source,dataset_or_docs,OS Places API documentation,Ordnance Survey,2026,https://docs.os.uk/os-apis/accessing-os-apis/os-places-api,case-study;requirements;demo-script,Accessed 2026-02-20
os_ngd_features_overview,domain_source,dataset_or_docs,OS NGD API – Features: technical specification (overview),Ordnance Survey,2026,https://docs.os.uk/osngd/getting-started/access-the-os-ngd-api/os-ngd-api-features/technical-specification,case-study;requirements;demo-script,Accessed 2026-02-20
os_ngd_features_spec_features,domain_source,dataset_or_docs,OS NGD API – Features: technical specification (features endpoint),Ordnance Survey,2026,https://docs.os.uk/osngd/getting-started/access-the-os-ngd-api/os-ngd-api-features/technical-specification/features,case-study;requirements;demo-script,Accessed 2026-02-20
ogc_web_api_guidelines,domain_source,dataset_or_docs,OGC Web API Guidelines,Open Geospatial Consortium,2026,https://github.com/opengeospatial/OGC-Web-API-Guidelines,case-study;requirements;demo-script,Accessed 2026-02-20
england_peat_map_datagovuk,domain_source,dataset_or_docs,England Peat Map (dataset listing),UK Government (data.gov.uk),2026,https://www.data.gov.uk/dataset/5a2047b0-b1a4-4f5e-b0aa-1dae85c4c2eb/england-peat-map,case-study;requirements;demo-script,Accessed 2026-02-20
datagovuk_aonb_england_dataset,domain_source,dataset_or_docs,Areas of Outstanding Natural Beauty (England) (dataset listing),UK Government (data.gov.uk),2026,https://www.data.gov.uk/dataset/8e3ae3b9-a827-47f1-b025-f08527a4e84e/areas-of-outstanding-natural-beauty-england1,case-study;requirements;demo-script,Accessed 2026-02-20
planning_data_aonb_dataset,domain_source,dataset_or_docs,Area of Outstanding Natural Beauty (dataset),Planning Data (DLUHC),2026,https://www.planning.data.gov.uk/dataset/area-of-outstanding-natural-beauty,case-study;requirements;demo-script,Accessed 2026-02-20
planning_data_aonb_entity_13,domain_source,dataset_or_docs,Forest of Bowland AONB (entity),Planning Data (DLUHC),2026,https://www.planning.data.gov.uk/curie/area-of-outstanding-natural-beauty%3A13,case-study;requirements;demo-script,Accessed 2026-02-20
env_ds_92b43165,domain_source,dataset_or_docs,"Environment Data Service dataset (ID: 92b43165-0dd0-4e69-a712-1e49bb5aa0d0)","Environment Agency / Defra",2026,https://environment.data.gov.uk/dataset/92b43165-0dd0-4e69-a712-1e49bb5aa0d0,case-study;requirements;demo-script,Accessed 2026-02-20
env_ds_ab92bc06,domain_source,dataset_or_docs,"Environment Data Service dataset (ID: ab92bc06-bd99-47c4-89a3-b93aa9c0db4d)","Environment Agency / Defra",2026,https://environment.data.gov.uk/dataset/ab92bc06-bd99-47c4-89a3-b93aa9c0db4d,case-study;requirements;demo-script,Accessed 2026-02-20
env_ds_fc9e34eb,domain_source,dataset_or_docs,"Environment Data Service dataset (ID: fc9e34eb-6119-47fb-a1ab-9508e82eef22)","Environment Agency / Defra",2026,https://environment.data.gov.uk/dataset/fc9e34eb-6119-47fb-a1ab-9508e82eef22,case-study;requirements;demo-script,Accessed 2026-02-20
env_ds_0212a29b,domain_source,dataset_or_docs,"Environment Data Service dataset (ID: 0212a29b-9e17-48c1-8eac-c27d48919f13)","Environment Agency / Defra",2026,https://environment.data.gov.uk/dataset/0212a29b-9e17-48c1-8eac-c27d48919f13,case-study;requirements;demo-script,Accessed 2026-02-20
env_ds_8e7c6f34,domain_source,dataset_or_docs,"Environment Data Service dataset (ID: 8e7c6f34-cc47-462e-b2c8-a152811a8f83)","Environment Agency / Defra",2026,https://environment.data.gov.uk/dataset/8e7c6f34-cc47-462e-b2c8-a152811a8f83,case-study;requirements;demo-script,Accessed 2026-02-20
env_ds_announcement_275811286_275811339,domain_source,dataset_or_docs,"Environment Data Service announcement (IDs: 275811286 / 275811339)","Environment Agency / Defra",2026,https://environment.data.gov.uk/support/announcements/275811286/275811339,case-study;requirements;demo-script,Accessed 2026-02-20
os_mastermap_features_api_demo,domain_source,dataset_or_docs,OS MasterMap demonstrator: using the OS Features API,Ordnance Survey,2026,https://docs.os.uk/more-than-maps/demonstrators/os-mastermap-generation-apis/using-the-os-features-api,case-study;requirements;demo-script,Accessed 2026-02-20
